boat names,imo,time first in port,number of times visited port,number of times out of port,average time spend in port per visit (mins),percentage of time in port
SEVEN PEGASUS,9392509,07-10-21 20:38:35,2,2,111,7
KAMARINA,9499644,07-10-21 20:38:35,2,2,343,22
TEAL,0,07-10-21 20:38:35,6,6,154,30
FORTH TIGER,0,07-10-21 20:38:35,233,232,11,91
ROWAN GORILLA VII,8765096,07-10-21 20:38:35,1,1,370,12
COLLIE T,6409064,07-10-21 20:38:35,2,1,1500,99
TAYBIRD,0,07-10-21 20:38:35,1,0,3002,100
PV TAYBIRD,0,07-10-21 20:38:35,1,0,3002,100
CHERRY SAND,6811059,07-10-21 22:11:35,21,23,19,13
CRAIGLEITH,9803819,08-10-21 16:07:26,16,18,22,12
INCHCOLM,9892092,08-10-21 17:35:59,12,14,26,10
TERRA NOVA,0,09-10-21 11:07:08,67,69,2,5
IEVOLI BLUE,9421714,09-10-21 17:06:50,1,3,95,3
PETEREL,9803974,10-10-21 03:55:50,14,16,30,14
PIER PRESSURE,0,10-10-21 07:05:55,10,12,26,8
LAMMY,9467184,11-10-21 07:08:51,1,3,33,1
SKANDI ACERGY,9387217,13-10-21 08:22:36,5,7,24,4
DSV SOPHIE,0,13-10-21 08:46:12,11,13,2,0
THUN GRACE,9190195,13-10-21 10:38:55,1,3,8,0
BITONIA,9503902,13-10-21 23:10:37,2,4,16,1
CORRINGHAM,9316414,14-10-21 19:32:36,4,6,15,2
RIB ROY,0,15-10-21 06:36:13,29,31,0,0
NOBLE HANS DEUL,9424015,15-10-21 11:45:25,1,3,1177,39
KITTIWAKE,9788289,15-10-21 11:45:25,2,4,2,0
VALARIS 249,0,15-10-21 15:48:28,1,3,167,5
BADGER,0,17-10-21 15:02:59,3,5,0,0
FORTH TROJAN,9126948,17-10-21 16:31:28,6,8,9,1
EQUINOX,0,17-10-21 18:16:29,1,3,1092,36
FORTH KING,0,18-10-21 12:03:47,3,5,7,0
DMS CONDOR,9251987,18-10-21 15:17:05,3,5,36,3
CEMCLIPPER,9884667,18-10-21 23:10:59,1,3,23,0
ERACLEA,9499656,19-10-21 17:38:27,1,3,379,12
FEED HELGELAND,9163635,20-10-21 02:33:51,1,3,57,1
MAERSK HANDLER,9246724,22-10-21 14:13:11,4,6,6,0
ALIZEE,9574303,25-10-21 07:40:35,2,4,30,2
BEAUMAGIC,9373266,26-10-21 19:34:45,1,3,40,1
RNLI LIFEBOAT 14 31,0,27-10-21 19:47:40,3,5,1,0
WILSON DORDRECHT,9145140,31-10-21 21:45:18,1,3,22,0
NORDBORG,9148180,03-11-21 21:48:04,1,3,22,0
SEA HARMONY,8914166,08-11-21 12:38:13,1,3,31,1
KAURI,9173226,13-11-21 09:17:54,1,3,120,4
SAPPHIRE,0,14-11-21 11:38:18,3,5,0,0
NORTHSEA RATIONAL,9334296,16-11-21 01:28:41,1,3,20,0
ZEUS,9199684,16-11-21 03:11:52,1,3,15,0
STANDARD PRINCESS,9390549,18-11-21 23:16:06,1,3,503,16
CEMGULF,9226762,23-11-21 14:26:17,1,3,39,1
BIT FORCE,9256420,24-11-21 16:43:42,2,4,20,1
REBECCA HAMMANN,9119634,25-11-21 09:10:37,2,4,51,3
MAERSK CONNECTOR,9743813,25-11-21 14:54:48,2,4,57,3
FUGRO SCOUT,9600372,25-11-21 18:55:32,5,7,63,10
GUARD VESSEL SEAGULL,9112545,26-11-21 17:11:53,1,3,187,6
FRAKT SUND,9374727,28-11-21 10:57:33,1,3,32,1
CROWN MARY,9466219,29-11-21 08:23:11,1,3,7,0
CEMSOL,9180401,29-11-21 21:18:35,1,3,26,0
MARIA ELISE,9534250,29-11-21 23:25:22,1,3,69,2
UKD ORCA,9491355,30-11-21 00:24:26,55,57,2,3
DALMENY,9067271,02-12-21 20:36:51,3,5,13,1
NJORD VIKING,9423827,03-12-21 10:34:12,1,3,1,0
BITLAND,9503914,03-12-21 14:52:50,1,3,23,0
ANNE DORTE,9466233,07-12-21 01:03:54,1,3,37,1
ANTARES,9449223,07-12-21 08:44:17,2,4,18,1
SELENKA,9447067,12-12-21 22:08:16,1,3,22,0
YEOMAN BANK,7422881,15-12-21 12:30:35,1,3,11,0
QUEENSFERRY,9885491,18-12-21 13:54:58,2,4,9,0
PROSPECTOR 5,8771813,19-12-21 14:04:37,1,2,1255,41
EVIAPETROL V,9358503,19-12-21 15:52:09,1,3,36,1
WILSON CALAIS,9156101,19-12-21 23:14:55,1,3,26,0
RNLI LIFEBOAT D 834,0,20-12-21 20:06:42,3,5,1,0
KADRI,9114725,21-12-21 12:46:15,1,3,29,0
ASTRID ERIKA,9291731,23-12-21 19:07:43,1,3,94,3
BIT POWER,9256432,03-01-22 00:47:15,2,4,25,1
HA LONG BAY,9343625,09-01-22 08:05:43,1,3,394,13
LISA,9235505,13-01-22 20:25:47,1,3,25,0
FUGRO SYNERGY,9452488,14-01-22 23:45:03,3,5,20,2
SAR 111232527,0,17-01-22 04:12:12,1,3,0,0
WILSON GAETA,9171096,19-01-22 12:40:48,1,3,23,0
WILSON ELBE,9060675,23-01-22 11:08:48,1,3,29,0
SEA MELODY,9195638,24-01-22 11:43:57,1,3,10,0
FRAKT FJORD,9356581,25-01-22 06:46:00,1,3,15,0
CEMI,8822612,25-01-22 21:12:32,1,3,63,2
SAMIRA,9240744,29-01-22 20:03:06,1,3,76,2
WILSON TEES,9150535,30-01-22 11:08:35,1,3,32,1
SHETLAND TRADER,9030486,03-02-22 06:26:14,1,3,35,1
